time,ax,ay,az,yaw ,acc,velo,dist
6.751,0.5247,-0.633885,9.8157,188.7244,-0.729336615081063,61.870287860276,10319.8874079549
6.794,0.3104,-2.690205,11.1625,188.7571,-1.12151029206485,60.5531237479577,10380.4405317028
6.837,0.1931,0.859425,9.5907,188.7316,-0.725323233651881,59.6321466940523,10440.0726783969
6.88,0.3092,-1.473465,8.6426,188.7492,-0.874951586921505,58.5615412868773,10498.6342196837
6.923,0.2973,-0.103425,9.5607,188.7482,-0.720646269537204,57.6452411970867,10556.2794608808
6.966,0.4242,-1.394295,10.0899,188.7712,-0.855376015629763,56.5942113612034,10612.873672242
7.009,0.2637,0.526365,10.115,188.7683,-0.57902781250381,55.8195297284461,10668.6932019705
7.052,0.1189,-0.67914,10.0216,188.7917,-0.599050250003048,55.0248256581896,10723.7180276287
7.095,0.4553,0.96999,10.2946,188.7976,-0.285242200002439,54.5439296379337,10778.2619572666
7.138,0.3487,2.673195,9.1501,188.8303,0.306445239998049,54.6547210576783,10832.9166783243
7.181,0.6085,-0.74697,10.6357,188.8658,0.095762191998439,54.5548294294232,10887.4715077537
7.224,0.2685,-0.50316,11.7191,188.9006,-0.024022246401249,54.3351533627685,10941.8066611165
7.267,0.3404,0.92484,9.5763,188.9175,0.165750202879001,54.305249745394,10996.1119108619
7.31,0.4529,-0.99456,8.4235,188.9674,-0.066311837696799,54.0432840874438,11050.1551949493
7.353,0.745,-1.065015,9.4877,189.0146,-0.266052470157439,53.5815777970328,11103.7367727463
7.396,0.059,1.277955,9.5476,189.0211,0.042749023874049,53.4286730006534,11157.165445747
7.439,0.1177,-0.57225,10.856,189.0544,-0.080250780900761,53.1527683994992,11210.3182141465
7.482,0.3906,1.195005,9.9199,189.0575,0.174800375279391,53.1319149545251,11263.450129101
7.525,0.4325,1.51935,8.73,189.0533,0.443710300223513,53.3799714344951,11316.8301005355
7.568,0.5139,-0.91413,10.3891,189.089,0.17214224017881,53.3564598544205,11370.1865603899
7.611,0.4637,0.8946,10.3293,189.0948,0.316633792143048,53.47743982631,11423.6640002162
7.654,0.5894,-0.12852,10.0659,189.1137,0.227603033714439,53.509389039771,11477.173389256
7.697,0.5056,0.849345,8.2296,189.1127,0.351951426971551,53.6656866464891,11530.8390759025
7.74,0.4708,1.78584,7.0672,189.092,0.638729141577241,54.1087619678128,11584.9478378703
7.783,0.7366,2.399145,8.6533,189.0743,0.990812313261793,54.9039204608212,11639.8517583311
7.826,0.3763,1.9467,10.5029,189.0773,1.18198985060943,55.8902564911771,11695.7420148223
7.869,0.1716,1.381065,11.2379,189.0978,1.22180488048755,56.9164075514112,11752.6584223737
7.912,0.1045,1.382325,11.421,189.1251,1.25390890439004,57.9746626355477,11810.6330850093
7.955,0.0495,0.12033,12.0794,189.1714,1.02719312351203,58.8062019388063,11869.4392869481
7.998,0.3882,0.866985,9.6876,189.2104,0.995151498809624,59.6056996173625,11929.0449865654
8.041,0.0267,-1.028475,7.9243,189.2877,0.5904261990477,60.0004719961567,11989.0454585616
8.084,0.4182,-1.909635,8.9418,189.3824,0.09041395923816,59.8952321351414,12048.9406906967
8.127,0.4589,-1.18062,10.1844,189.4616,-0.163792832609472,59.5357854822784,12108.476476179
8.17,-0.1564,-0.56973,8.8688,189.5351,-0.244980266087578,59.0951513959373,12167.571627575
8.213,0.1524,-2.614815,9.1238,189.6034,-0.718947212870062,58.1805503628138,12225.7521779378
8.256,0.5941,-0.30828,8.791,189.6856,-0.63681377029605,57.3480827722643,12283.10026071
8.299,0.6839,-0.03801,8.967,189.7757,-0.51705301623684,56.635375935774,12339.7356366458
8.342,0.6408,-1.240995,10.3832,189.8854,-0.661841412989472,55.777880702531,12395.5135173483
8.385,0.9114,0.2184,11.196,189.9826,-0.485793130391578,55.096433751886,12450.6099511002
8.428,0.0674,0.021,10.6645,190.0991,-0.384434504313262,54.5163454273192,12505.1262965275
