time,ax,ay,az,yaw
23.521,0.4357,-0.4479,9.0462,185.3318
23.564,-0.1796,-0.2396,10.5198,185.3056
23.607,0.2896,1.6709,10.1439,185.2645
23.65,-0.0504,-1.6773,11.8666,185.2446
23.693,0.146,0.3098,12.2293,185.2139
23.736,-0.6764,0.0944,11.748,185.1958
23.779,-0.4897,0.1363,9.8135,185.1927
23.822,0.2238,2.6226,6.2952,185.199
23.865,1.0031,-0.0684,7.0829,185.2295
23.908,-0.1593,-1.4942,10.0996,185.29
23.951,0.2693,2.0696,8.7134,185.3537
23.994,0.6727,4.8828,6.6484,185.449
24.037,0.9037,-4.2344,10.2337,185.5617
24.08,0.972,0.0106,14.0165,185.6932
24.123,0.0658,1.3741,13.0792,185.8301
24.166,-0.4777,0.997,11.3638,185.9776
24.209,-0.1868,2.2156,8.2992,186.1196
24.252,0.723,-2.4519,9.3359,186.2777
24.295,-0.2144,-1.2081,11.8689,186.4434
24.338,0.1196,2.7088,8.8822,186.5926
24.381,-0.3245,0.7623,7.2362,186.7338
24.424,0.5231,-0.2121,8.0921,186.8677
24.467,-0.0204,-0.667,9.8207,186.9927
