time,ax,ay,az,yaw ,acc,velo,dis
36.507,-0.2591,0.93214,10.2314,189.7739,1.1400799886257,31.6970553639217,78830.6295201481
36.55,-0.4913,2.1989,11.195,189.7903,1.35184399090056,31.8733684188016,78862.5028885669
36.593,-0.0772,0.86625,13.26,189.7728,1.25472519272045,31.9525626755013,78894.4554512424
36.636,-0.0065,1.54836,10.3858,189.7391,1.31345215417636,32.090483893657,78926.5459351361
36.679,-0.0149,0.60423,7.8647,189.6905,1.17160772334109,32.0865606809774,78958.6324958171
36.722,-0.0353,2.06063,6.3707,189.6367,1.34941217867287,32.2604419236295,78990.8929377407
36.765,-0.1645,0.96503,7.0998,189.558,1.2725357429383,32.3574467305471,79023.2503844712
36.808,0.0916,2.38458,8.6225,189.4825,1.49494459435064,32.6768603888771,79055.9272448601
36.851,0.2401,2.67949,8.8559,189.4085,1.73185367548051,33.2331831283369,79089.1604279885
36.894,-0.0412,1.51679,12.5442,189.336,1.68884094038441,33.7464931327006,79122.9069211212
36.937,0.0593,1.96185,13.0912,189.287,1.74344275230753,34.3144049489874,79157.2213260701
36.98,0.2856,0.82148,10.958,189.2598,1.55905020184602,34.6979242148127,79191.9192502849
37.023,-0.1167,4.47172,8.419,189.2713,2.14158416147682,35.6639774402688,79227.5832277252
37.066,-0.222,-1.09571,11.8044,189.3017,1.49412532918145,35.9825718334296,79263.5657995587
37.109,0.0821,2.19758,10.7892,189.3861,1.63481626334516,36.4418571607541,79300.0076567194
37.152,0.179,0.97295,8.656,189.5095,1.50244301067613,36.7687692354095,79336.7764259548
37.195,-0.0257,3.76849,6.0846,189.6729,1.9556524085409,37.5488907079297,79374.3253166627
37.238,-0.2854,-0.89298,10.6875,189.8641,1.38592592683272,37.7592856987417,79412.0846023615
37.281,-0.04,2.14225,11.8882,190.0675,1.53719074146618,38.1209455041872,79450.2055478657
37.324,-0.046,2.79411,7.5187,190.2866,1.78857459317294,38.7339891613394,79488.939537027
37.367,-0.0113,0.40018,9.9584,190.4935,1.51089567453835,39.0693538998571,79528.0088909269
37.41,-0.3345,1.79201,11.3962,190.693,1.56711853963068,39.4609415034671,79567.4698324303
37.453,-0.4207,2.73482,8.6883,190.8831,1.80065883170455,40.0860693991509,79607.5559018295
37.496,-0.1981,1.02696,10.4947,191.0396,1.64591906536364,40.5564575284939,79648.112359358
37.539,-0.2603,1.84602,10.9269,191.1756,1.68593925229091,41.0668658447641,79689.1792252028
37.582,0.1886,1.25609,9.3276,191.2822,1.59996940183273,41.4913043105761,79730.6705295133
37.625,-0.2352,3.1878,6.4797,191.3642,1.91753552146618,42.2333088960216,79772.9038384093
37.668,-0.1346,1.38248,9.2438,191.4312,1.81052441717295,42.8683023771738,79815.7721407865
37.711,-0.532,1.71039,11.5853,191.4771,1.79049753373836,43.4832689748915,79859.2554097614
37.754,-0.5285,0.79783,9.81,191.5072,1.59196402699069,43.8997020658615,79903.1551118273
37.797,-0.471,1.96581,6.421,191.5424,1.66673322159255,44.3909043514333,79947.5460161787
37.84,-0.5129,3.20232,8.1496,191.5753,1.97385057727404,45.1892239926867,79992.7352401714
37.883,-0.2902,2.89025,11.5554,191.5893,2.15713046181923,46.1708235184852,80038.9060636899
37.926,-0.1238,-5.21081,19.1653,191.6052,0.683542369455386,45.6788349519199,80084.5848986418
37.969,0.0078,3.31034,11.1771,191.645,1.20890189556431,45.7122059114635,80130.2971045532
38.012,0.4675,5.03536,4.4913,191.6818,1.97419351645145,46.5108684918943,80176.8079730451
38.055,-0.7822,-5.67039,13.2086,191.7483,0.445276813161158,45.7806143690347,80222.5885874142
38.098,-0.2256,3.52495,10.5271,191.8523,1.06121145052893,45.6662948835429,80268.2548822977
38.141,0.0246,7.53335,-0.8203,191.9604,2.35563916042314,46.8464031079454,80315.1012854057
38.184,0.3335,-1.47631,6.9621,192.0845,1.58924932833851,47.2601215002632,80362.3614069059
38.227,-0.7403,-0.24508,15.5752,192.1886,1.22238346267081,47.3069740269133,80409.6683809328
